C1=CC=NC=C1
C1CCC(=O)C1
C1CCC(=O)CC1
C1=CC=C(C=C1)CBr
C=CC1=CC=CC=C1
CCC1=CC=CC=C1
CC1=CC(=CC(=C1)C)C
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2
C1=CN=CC=N1
C1=CC=CC=C1
CC1=NCCN=C1C
COC1=CCOCC1
CC=NC(C)(C)C
C1=CC=CC(=O)C=C1
C1C=CC=CC=C1
C1CCCC(=O)CC1
CC1=C(CCC1)C
CCC1=CCCC1
C=C1C=CC=CC=C1
C1CC2=CC=CC=C21
CC1=CC=CC=C1C
C1CCCC(=O)CCC1
C1CCC/C=C\CC1
C1CCCC=CCC1
CCCCN=NCCCC
C1C=CC2=CC=CC=C21
C1C=CC2=CC=CC=C21
C1CC2=CC=CC=C2C1
C1C/C=C\CC/C=C\C1
C1CCC/C=C\CCC1
C1=CC=C2C=CC=CC2=C1
C1=CC=C2C=CC=C2C=C1
C1CC2=CC=CC=C2C=C1
C1C=CCC2=CC=CC=C21
C1CC2=CC3=C(CC3)C=C21
C1CCCC/C=C\CCC1
C1=CC=C2C(=C1)C=C3C=CC=CC3=N2
C1=CC=CC(C=C1)C2C=CC=CC=C2
C1=CC=C(C=C1)/C=C/C=C/C2=CC=CC=C2
